Timestamp,Emotion,Probabilities
2025-09-04 13:49:17.111757,Sad,"[0.2079600989818573, 0.02203896827995777, 0.1465355008840561, 0.13189257681369781, 0.30888333916664124, 0.01671666093170643, 0.1659727692604065]"
2025-09-04 13:49:17.156175,Sad,"[0.16191425919532776, 0.017199719324707985, 0.20585589110851288, 0.0788605809211731, 0.28236785531044006, 0.047117799520492554, 0.20668387413024902]"
2025-09-04 13:49:17.196730,Sad,"[0.1657802164554596, 0.01771099865436554, 0.16184036433696747, 0.1330302655696869, 0.23667772114276886, 0.0631408616900444, 0.22181949019432068]"
2025-09-04 13:49:17.237577,Sad,"[0.19952209293842316, 0.023392725735902786, 0.17078323662281036, 0.1692008078098297, 0.26185691356658936, 0.035707756876945496, 0.13953641057014465]"
2025-09-04 13:49:17.377802,Sad,"[0.21025040745735168, 0.022080253809690475, 0.1446879655122757, 0.12687058746814728, 0.31243857741355896, 0.015883024781942368, 0.16778914630413055]"
2025-09-04 13:49:17.419794,Sad,"[0.1480918824672699, 0.01559342723339796, 0.18937145173549652, 0.0892222672700882, 0.23887528479099274, 0.07999254018068314, 0.2388530969619751]"
2025-09-04 13:49:17.463965,Happy,"[0.14336706697940826, 0.01639740727841854, 0.15428370237350464, 0.22487705945968628, 0.2019583135843277, 0.06540879607200623, 0.1937076449394226]"
2025-09-04 13:49:17.505456,Sad,"[0.19355052709579468, 0.023207129910588264, 0.16301923990249634, 0.20436729490756989, 0.2556299865245819, 0.031405311077833176, 0.1288205087184906]"
2025-09-04 13:49:17.544547,Neutral,"[0.15246383845806122, 0.01613805629312992, 0.16308775544166565, 0.11137554049491882, 0.20497441291809082, 0.11001258343458176, 0.24194782972335815]"
2025-09-04 13:49:17.698668,Sad,"[0.20750467479228973, 0.02220780774950981, 0.14594699442386627, 0.1428062617778778, 0.28731831908226013, 0.022879766300320625, 0.17133615911006927]"
2025-09-04 13:49:17.740945,Neutral,"[0.1560257524251938, 0.015873925760388374, 0.16317451000213623, 0.09411683678627014, 0.2272607684135437, 0.08207128196954727, 0.26147693395614624]"
2025-09-04 13:49:17.781748,Sad,"[0.20451854169368744, 0.024664049968123436, 0.15855950117111206, 0.2068231701850891, 0.24514709413051605, 0.03563932329416275, 0.12464826554059982]"
2025-09-04 13:49:17.918956,Sad,"[0.21256031095981598, 0.022465422749519348, 0.14470167458057404, 0.13040317595005035, 0.3068687617778778, 0.017076928168535233, 0.16592375934123993]"
2025-09-04 13:49:17.961448,Neutral,"[0.1399499922990799, 0.01418089959770441, 0.17884694039821625, 0.1798619031906128, 0.13636459410190582, 0.1702200025320053, 0.18057569861412048]"
